"term","ontology","ID","Description","total_sig","up_count","down_count","sig_count","consensus"
"BP: negative regulation of mitotic metaphase/anaphase transition","BP","GO:0045841","negative regulation of mitotic metaphase/anaphase transition",11,5,6,11,"mixed"
"BP: negative regulation of mitotic sister chromatid segregation","BP","GO:0033048","negative regulation of mitotic sister chromatid segregation",11,5,6,11,"mixed"
"BP: negative regulation of mitotic sister chromatid separation","BP","GO:2000816","negative regulation of mitotic sister chromatid separation",11,5,6,11,"mixed"
"BP: negative regulation of sister chromatid segregation","BP","GO:0033046","negative regulation of sister chromatid segregation",11,5,6,11,"mixed"
"BP: nuclear chromosome segregation","BP","GO:0098813","nuclear chromosome segregation",11,4,7,11,"mixed"
"BP: nuclear division","BP","GO:0000280","nuclear division",11,4,7,11,"mixed"
"BP: nucleosome assembly","BP","GO:0006334","nucleosome assembly",11,6,5,11,"mixed"
"BP: organelle fission","BP","GO:0048285","organelle fission",11,4,7,11,"mixed"
"BP: oxidative phosphorylation","BP","GO:0006119","oxidative phosphorylation",11,6,5,11,"mixed"
"BP: phagocytosis","BP","GO:0006909","phagocytosis",11,6,5,11,"mixed"
"BP: phosphatidylinositol 3-kinase/protein kinase B signal transduction","BP","GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction",11,7,4,11,"mixed"
"BP: positive regulation of angiogenesis","BP","GO:0045766","positive regulation of angiogenesis",11,7,4,11,"mixed"
"BP: positive regulation of apoptotic process","BP","GO:0043065","positive regulation of apoptotic process",11,6,5,11,"mixed"
"BP: positive regulation of catalytic activity","BP","GO:0043085","positive regulation of catalytic activity",11,6,5,11,"mixed"
"BP: positive regulation of cell cycle","BP","GO:0045787","positive regulation of cell cycle",11,5,6,11,"mixed"
"BP: positive regulation of cell cycle process","BP","GO:0090068","positive regulation of cell cycle process",11,5,6,11,"mixed"
"BP: positive regulation of cell development","BP","GO:0010720","positive regulation of cell development",11,6,5,11,"mixed"
"BP: positive regulation of cell projection organization","BP","GO:0031346","positive regulation of cell projection organization",11,7,4,11,"mixed"
"BP: positive regulation of chemotaxis","BP","GO:0050921","positive regulation of chemotaxis",11,6,5,11,"mixed"
"BP: regionalization","BP","GO:0003002","regionalization",11,4,7,11,"mixed"
"BP: regulation of DNA replication","BP","GO:0006275","regulation of DNA replication",11,4,7,11,"mixed"
"BP: regulation of anatomical structure size","BP","GO:0090066","regulation of anatomical structure size",11,7,4,11,"mixed"
"BP: regulation of blood circulation","BP","GO:1903522","regulation of blood circulation",11,6,5,11,"mixed"
"BP: regulation of blood pressure","BP","GO:0008217","regulation of blood pressure",11,7,4,11,"mixed"
"BP: regulation of cell growth","BP","GO:0001558","regulation of cell growth",11,5,6,11,"mixed"
"BP: regulation of chromosome segregation","BP","GO:0051983","regulation of chromosome segregation",11,4,7,11,"mixed"
"BP: regulation of extracellular matrix organization","BP","GO:1903053","regulation of extracellular matrix organization",11,7,4,11,"mixed"
"BP: regulation of inflammatory response","BP","GO:0050727","regulation of inflammatory response",11,5,6,11,"mixed"
"BP: regulation of interleukin-6 production","BP","GO:0032675","regulation of interleukin-6 production",11,5,6,11,"mixed"
"BP: regulation of muscle system process","BP","GO:0090257","regulation of muscle system process",11,6,5,11,"mixed"
"BP: regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","BP","GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",11,7,4,11,"mixed"
"BP: regulation of protein kinase activity","BP","GO:0045859","regulation of protein kinase activity",11,7,4,11,"mixed"
"BP: regulation of small GTPase mediated signal transduction","BP","GO:0051056","regulation of small GTPase mediated signal transduction",11,7,4,11,"mixed"
"BP: renal system development","BP","GO:0072001","renal system development",11,5,6,11,"mixed"
"BP: respiratory electron transport chain","BP","GO:0022904","respiratory electron transport chain",11,5,6,11,"mixed"
"BP: response to alcohol","BP","GO:0097305","response to alcohol",11,8,3,11,"mixed"
"BP: response to endoplasmic reticulum stress","BP","GO:0034976","response to endoplasmic reticulum stress",11,4,7,11,"mixed"
"BP: response to insulin","BP","GO:0032868","response to insulin",11,7,4,11,"mixed"
"BP: response to xenobiotic stimulus","BP","GO:0009410","response to xenobiotic stimulus",11,7,4,11,"mixed"
"BP: ribosome biogenesis","BP","GO:0042254","ribosome biogenesis",11,2,9,11,"mixed"
"BP: sister chromatid segregation","BP","GO:0000819","sister chromatid segregation",11,4,7,11,"mixed"
"BP: skeletal system development","BP","GO:0001501","skeletal system development",11,5,6,11,"mixed"
