"term","ontology","ID","Description","sig_count","up_count","down_count","mean_NES","sd_NES","mean_up_NES","sd_up_NES","mean_down_NES","sd_down_NES","consensus"
"BP: activin receptor signaling pathway","BP","GO:0032924","activin receptor signaling pathway",3,2,1,0.494838289071262,2.06134463938361,1.68495272364784,0.00701714371284702,-1.8853905800819,NA,"mixed"
"BP: positive regulation of epithelial cell differentiation","BP","GO:0030858","positive regulation of epithelial cell differentiation",3,2,1,0.550808483722542,1.96753177729092,1.68396290067834,0.195266467424632,-1.71550035018905,NA,"mixed"
"BP: unsaturated fatty acid biosynthetic process","BP","GO:0006636","unsaturated fatty acid biosynthetic process",3,3,0,1.68253298773364,0.0275085427370609,1.68253298773364,0.0275085427370609,NA,NA,"up"
"BP: negative regulation of lipid storage","BP","GO:0010888","negative regulation of lipid storage",3,2,1,0.440268819207641,2.1512120285644,1.68192885175329,0.0714742271928449,-2.04305124588365,NA,"mixed"
"BP: positive regulation of telomere maintenance","BP","GO:0032206","positive regulation of telomere maintenance",3,1,2,-0.53789628725269,1.92519228198716,1.68172855109465,NA,-1.64770870642636,0.150429421102442,"mixed"
"MF: histone deacetylase binding","MF","GO:0042826","histone deacetylase binding",3,1,2,-0.537889168230933,1.92391929298971,1.6812972007155,NA,-1.64748235270415,0.125493751635534,"mixed"
"BP: ventral spinal cord development","BP","GO:0021517","ventral spinal cord development",3,2,1,0.446069317647257,2.1392362922904,1.67997760188693,0.132234280778528,-2.02174725083209,NA,"mixed"
"CC: SUMO ligase complex","CC","GO:0106068","SUMO ligase complex",3,1,2,-0.603620114217026,1.97650581726637,1.67857546430052,NA,-1.7447179034758,0.0229238624149442,"mixed"
"BP: membrane invagination","BP","GO:0010324","membrane invagination",3,2,1,0.594182836449772,1.87789563584386,1.67834744782651,0.0225080179678324,-1.5741463863037,NA,"mixed"
"BP: desmosome organization","BP","GO:0002934","desmosome organization",3,1,2,-0.618366381271972,1.99001175324494,1.67794659459526,NA,-1.76652286920559,0.103506673222973,"mixed"
