"term","Indelicato_0.05_all_genes.rds","Lai_CNS_0.05_all_genes.rds","Lai_iPSC_0.05_all_genes.rds","Lai_PNS_0.05_all_genes.rds","Lees_FA1_0.05_all_genes.rds","Lees_FA2_0.05_all_genes.rds","Lees_FA3_0.05_all_genes.rds","Maddock_LMN_FA2_0.05_all_genes.rds","Maddock_NCC_FA1_0.05_all_genes.rds","Maddock_NCC_FA2_0.05_all_genes.rds","Maddock_SN_FA1_0.05_all_genes.rds","Maddock_SN_FA2_0.05_all_genes.rds","Mishra_223_0.05_all_genes.rds","Mishra_850_0.05_all_genes.rds","Mishra_FF1_0.05_all_genes.rds","Mishra_FF2_0.05_all_genes.rds","Napierala_0.05_all_genes.rds","Vilema_0.05_all_genes.rds","Erwin_0.05_all_genes.rds"
"BP: RNA surveillance",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"BP: RNA transport",0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0
"BP: RNA-templated DNA biosynthetic process",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"BP: Rab protein signal transduction",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: Ras protein signal transduction",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"BP: Rho protein signal transduction",0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0
"BP: SA node cell to atrial cardiac muscle cell communication",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: SMAD protein signal transduction",0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0
"BP: SNARE complex assembly",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: SRP-dependent cotranslational protein targeting to membrane",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"BP: SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: Schwann cell development",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"BP: Schwann cell differentiation",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
