"term","Indelicato_0.05_all_genes.rds","Lai_CNS_0.05_all_genes.rds","Lai_iPSC_0.05_all_genes.rds","Lai_PNS_0.05_all_genes.rds","Lees_FA1_0.05_all_genes.rds","Lees_FA2_0.05_all_genes.rds","Lees_FA3_0.05_all_genes.rds","Maddock_LMN_FA2_0.05_all_genes.rds","Maddock_NCC_FA1_0.05_all_genes.rds","Maddock_NCC_FA2_0.05_all_genes.rds","Maddock_SN_FA1_0.05_all_genes.rds","Maddock_SN_FA2_0.05_all_genes.rds","Mishra_223_0.05_all_genes.rds","Mishra_850_0.05_all_genes.rds","Mishra_FF1_0.05_all_genes.rds","Mishra_FF2_0.05_all_genes.rds","Napierala_0.05_all_genes.rds","Vilema_0.05_all_genes.rds","Erwin_0.05_all_genes.rds"
"BP: tumor necrosis factor superfamily cytokine production",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
"BP: tumor necrosis factor-mediated signaling pathway",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"BP: type 2 immune response",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"BP: type 2 mitophagy",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: type B pancreatic cell development",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: type B pancreatic cell differentiation",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: type I interferon production",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"BP: type I interferon-mediated signaling pathway",0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
"BP: type II interferon production",0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
"BP: type II interferon-mediated signaling pathway",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"BP: type III interferon-mediated signaling pathway",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: tyrosine metabolic process",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: tyrosine phosphorylation of STAT protein",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"BP: ubiquinone biosynthetic process",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: ubiquinone metabolic process",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: ubiquitin-dependent protein catabolic process via the C-end degron rule pathway",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BP: ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"BP: unsaturated fatty acid biosynthetic process",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"BP: unsaturated fatty acid metabolic process",0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"BP: ureter development",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"BP: ureteric bud development",0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
"BP: ureteric bud morphogenesis",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"BP: urogenital system development",0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"BP: uterus development",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: vacuolar acidification",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: vacuolar localization",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: vacuolar transport",0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1
"BP: vacuole organization",0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0
"BP: vascular associated smooth muscle cell apoptotic process",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: vascular associated smooth muscle cell development",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: vascular associated smooth muscle cell differentiation",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: vascular associated smooth muscle cell migration",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"BP: vascular associated smooth muscle cell proliferation",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"BP: vascular associated smooth muscle contraction",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"BP: vascular endothelial cell proliferation",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"BP: vascular endothelial growth factor production",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"BP: vascular endothelial growth factor receptor signaling pathway",0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
"BP: vascular endothelial growth factor receptor-1 signaling pathway",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"BP: vascular endothelial growth factor signaling pathway",0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
"BP: vascular process in circulatory system",0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0
"BP: vascular transport",0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"BP: vascular wound healing",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"BP: vasculature development",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"BP: vasculogenesis",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
"BP: vasoconstriction",0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
"BP: vasodilation",0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"BP: ventral spinal cord development",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"BP: ventral spinal cord interneuron differentiation",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: ventral spinal cord interneuron fate commitment",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: ventricular cardiac muscle cell development",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: ventricular cardiac muscle cell membrane repolarization",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"BP: ventricular cardiac muscle tissue development",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"BP: ventricular cardiac muscle tissue morphogenesis",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"BP: ventricular septum development",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
"BP: ventricular septum morphogenesis",0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"BP: ventricular system development",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: very long-chain fatty acid metabolic process",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: vesicle budding from membrane",0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"BP: vesicle cargo loading",0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"BP: vesicle coating",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"BP: vesicle cytoskeletal trafficking",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"BP: vesicle docking",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: vesicle docking involved in exocytosis",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: vesicle fusion",0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
"BP: vesicle fusion to plasma membrane",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"BP: vesicle localization",0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1
"BP: vesicle organization",0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1
"BP: vesicle targeting",0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"BP: vesicle targeting, rough ER to cis-Golgi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: vesicle targeting, to, from or within Golgi",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"BP: vesicle tethering",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: vesicle transport along microtubule",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"BP: vesicle-mediated transport between endosomal compartments",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"BP: vesicle-mediated transport in synapse",0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
"BP: vesicle-mediated transport to the plasma membrane",0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
"BP: viral RNA genome replication",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: viral gene expression",0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"BP: viral genome replication",0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"BP: viral life cycle",0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0
"BP: viral process",0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0
"BP: viral protein processing",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: viral transcription",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: viral translation",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BP: visual behavior",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BP: visual learning",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: visual perception",0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0
"BP: visual system development",0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0
"BP: vitamin D metabolic process",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"BP: vitamin K metabolic process",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: vitamin metabolic process",0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"BP: vitamin transmembrane transport",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: vitamin transport",0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
"BP: vocalization behavior",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"BP: walking behavior",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: white fat cell differentiation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BP: wound healing",0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0
"BP: wound healing, spreading of cells",0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"BP: wound healing, spreading of epidermal cells",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"BP: xenobiotic catabolic process",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: xenobiotic detoxification by transmembrane export across the plasma membrane",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: xenobiotic export from cell",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BP: xenobiotic metabolic process",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"BP: xenobiotic transport",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"BP: xenophagy",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BP: zinc ion transmembrane transport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BP: zinc ion transport",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BP: zymogen activation",0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
"CC: 9+0 non-motile cilium",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"CC: 9+2 motile cilium",0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"CC: 90S preribosome",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"CC: A axonemal microtubule",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CC: A band",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"CC: AMPA glutamate receptor complex",0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"CC: AP-3 adaptor complex",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: AP-type membrane coat adaptor complex",0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"CC: ATAC complex",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CC: ATPase complex",0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"CC: ATPase dependent transmembrane transport complex",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CC: BLOC complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: BLOC-1 complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: Bcl-2 family protein complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: CCR4-NOT complex",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC: CENP-A containing chromatin",0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
"CC: CENP-A containing nucleosome",0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
"CC: CMG complex",0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0
"CC: COPI vesicle coat",0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"CC: COPI-coated vesicle",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"CC: COPI-coated vesicle membrane",0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"CC: COPII vesicle coat",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CC: COPII-coated ER to Golgi transport vesicle",0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1
"CC: Cajal body",0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"CC: Cul3-RING ubiquitin ligase complex",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"CC: Cul4-RING E3 ubiquitin ligase complex",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC: Cul4A-RING E3 ubiquitin ligase complex",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CC: DNA polymerase complex",0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"CC: DNA repair complex",0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"CC: DNA replication preinitiation complex",0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
"CC: DNA-directed RNA polymerase complex",0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
"CC: EMC complex",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC: ER membrane insertion complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: ER to Golgi transport vesicle membrane",1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1
"CC: ESC/E(Z) complex",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CC: ESCRT I complex",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC: ESCRT III complex",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CC: ESCRT complex",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CC: FAR/SIN/STRIPAK complex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"CC: FNIP-folliculin RagC/D GAP",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CC: Fanconi anaemia nuclear complex",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
"CC: Flemming body",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CC: G protein-coupled receptor complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: GABA receptor complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: GABA-A receptor complex",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"CC: GABA-ergic synapse",0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"CC: GBAF complex",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CC: GTPase activator complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: GTPase complex",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC: Gemini of Cajal bodies",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: Golgi apparatus subcompartment",0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0
"CC: Golgi cis cisterna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CC: Golgi cisterna",0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
"CC: Golgi cisterna membrane",0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0
"CC: Golgi lumen",0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"CC: Golgi stack",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
"CC: Golgi trans cisterna",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"CC: Golgi-associated vesicle",0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
"CC: Golgi-associated vesicle membrane",0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"CC: H4 histone acetyltransferase complex",0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
"CC: H4/H2A histone acetyltransferase complex",0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"CC: HOPS complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"CC: I band",1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0
"CC: INO80-type complex",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CC: ISWI-type complex",0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"CC: IgG immunoglobulin complex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"CC: M band",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"CC: MCM complex",0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
"CC: MHC class I protein complex",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"CC: MHC class II protein complex",1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1
"CC: MHC protein complex",1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
"CC: MIB complex",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CC: MKS complex",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"CC: MLL1 complex",0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"CC: MLL1/2 complex",0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
"CC: MLL3/4 complex",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC: NADH dehydrogenase complex",1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1
"CC: NADPH oxidase complex",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CC: NSL complex",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"CC: NuA4 histone acetyltransferase complex",0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"CC: P granule",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC: P-body",0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"CC: PML body",0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0
"CC: PcG protein complex",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CC: Prp19 complex",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CC: RISC complex",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC: RNA cap binding complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: RNA polymerase II transcription regulator complex",0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0
"CC: RNA polymerase II transcription repressor complex",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CC: RNA polymerase II, holoenzyme",0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"CC: RNA polymerase III complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: RNA polymerase complex",0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0
"CC: RNAi effector complex",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: RSC-type complex",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CC: SAGA-type complex",0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"CC: SAM complex",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CC: SMN-Sm protein complex",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"CC: SNARE complex",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"CC: SUMO ligase complex",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"CC: SWI/SNF complex",0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"CC: SWI/SNF superfamily-type complex",0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"CC: Schaffer collateral - CA1 synapse",0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"CC: Schmidt-Lanterman incisure",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CC: Set1C/COMPASS complex",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CC: Sin3-type complex",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"CC: Sm-like protein family complex",0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0
"CC: T cell receptor complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"CC: T-tubule",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: TIM23 mitochondrial import inner membrane translocase complex",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: TRAPP complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"CC: TRAPPII protein complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: TRAPPIII protein complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: U1 snRNP",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"CC: U12-type spliceosomal complex",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CC: U2 snRNP",0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"CC: U2-type catalytic step 1 spliceosome",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CC: U2-type catalytic step 2 spliceosome",1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"CC: U2-type precatalytic spliceosome",0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"CC: U2-type spliceosomal complex",1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"CC: U4 snRNP",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"CC: U4/U6 x U5 tri-snRNP complex",0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"CC: U5 snRNP",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CC: WASH complex",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CC: X chromosome",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CC: XY body",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CC: Z disc",1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0
"CC: acetylcholine-gated channel complex",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC: acetyltransferase complex",0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1
"CC: acrosomal membrane",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: acrosomal vesicle",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CC: actin cytoskeleton",1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
"CC: actin filament",0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0
"CC: actin filament bundle",1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0
"CC: actin-based cell projection",1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0
"CC: actomyosin",1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0
"CC: adherens junction",0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"CC: aminoacyl-tRNA synthetase multienzyme complex",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CC: amphisome",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CC: amphisome membrane",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CC: anaphase-promoting complex",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"CC: apical junction complex",0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
"CC: apical part of cell",0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1
"CC: apical plasma membrane",0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0
"CC: apicolateral plasma membrane",0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"CC: astrocyte end-foot",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC: asymmetric synapse",0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1
"CC: autolysosome",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"CC: autophagosome",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
