gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00003323,CLIP1,CLIP1,Control,FRDA,0.02469648075684831,448
geneComp_00020036,LINC01278,LINC01278,Control,FRDA,0.025023862672190922,449
geneComp_00033085,ZNF471,ZNF471,Control,FRDA,0.02618586949192971,450
geneComp_00017016,GARS1,GARS1,Control,FRDA,0.02622336584433497,451
geneComp_00023443,ORMDL3,ORMDL3,Control,FRDA,0.02625589505984431,452
geneComp_00033114,ZNF510,ZNF510,Control,FRDA,0.02625589505984431,453
geneComp_00033326,ZNF749,ZNF749,Control,FRDA,0.026580252821271935,454
geneComp_00019093,KCND3,KCND3,Control,FRDA,0.027659546426214886,455
geneComp_00016928,GADD45B,GADD45B,Control,FRDA,0.028045872515001492,456
geneComp_00000099,ABHD2,ABHD2,Control,FRDA,0.028368773363943407,457
geneComp_00033302,ZNF710,ZNF710,Control,FRDA,0.029252561933101447,458
geneComp_00016421,FBXO10,FBXO10,Control,FRDA,0.029367552002590662,459
geneComp_00028653,SLC25A25,SLC25A25,Control,FRDA,0.029413404672277915,460
geneComp_00029144,SNIP1,SNIP1,Control,FRDA,0.029640187066416766,461
geneComp_00001513,B4GALNT4,B4GALNT4,Control,FRDA,0.029794611945995697,462
geneComp_00030797,TMEM129,TMEM129,Control,FRDA,0.030512869841673677,463
geneComp_00032759,ZFP64,ZFP64,Control,FRDA,0.0305782578190586,464
geneComp_00033027,ZNF395,ZNF395,Control,FRDA,0.032085134679793695,465
geneComp_00016353,FANCL,FANCL,Control,FRDA,0.03280509110706346,466
geneComp_00033029,ZNF397,ZNF397,Control,FRDA,0.0328052411201886,467
geneComp_00016037,EXOC3,EXOC3,Control,FRDA,0.03354948717659646,468
geneComp_00024059,PFKFB2,PFKFB2,Control,FRDA,0.03471481083755862,469
geneComp_00029377,SNX7,SNX7,Control,FRDA,0.034802249332441554,470
geneComp_00001291,ATG12,ATG12,Control,FRDA,0.0360005504022242,471
geneComp_00028130,SEC22C,SEC22C,Control,FRDA,0.036639149513508454,472
geneComp_00018877,IRX2,IRX2,Control,FRDA,0.03699222753013694,473
geneComp_00031134,TOGARAM1,TOGARAM1,Control,FRDA,0.037373365722327634,474
geneComp_00004795,DYNC1I2,DYNC1I2,Control,FRDA,0.03789059937609185,475
