gene_ref,gene_id,gene_name,condition_1,condition_2,gene_switch_q_value,Rank
geneComp_00027440,RSL24D1,RSL24D1,Control,FRDA,0.02847128962047384,485
geneComp_00030174,THOC6,THOC6,Control,FRDA,0.029710603776901382,486
geneComp_00010909,ENSG00000288534.1,NA,Control,FRDA,0.029941213868945517,487
geneComp_00025191,POLD4,POLD4,Control,FRDA,0.03035142414684036,488
geneComp_00030249,TIPARP-AS1,TIPARP-AS1,Control,FRDA,0.030644883161359215,489
geneComp_00032840,ZNF618,ZNF618,Control,FRDA,0.030720683035301698,490
geneComp_00024568,PDZD4,PDZD4,Control,FRDA,0.030888477608012225,491
geneComp_00029512,STX2,STX2,Control,FRDA,0.032215643123007696,492
geneComp_00029064,SPATA7,SPATA7,Control,FRDA,0.032371006761375394,493
geneComp_00026239,RAPGEF6,RAPGEF6,Control,FRDA,0.0327965317088525,494
geneComp_00029269,SRSF3,SRSF3,Control,FRDA,0.032894961753819306,495
geneComp_00001907,BRIP1,BRIP1,Control,FRDA,0.03337043941466998,496
geneComp_00031533,UMPS,UMPS,Control,FRDA,0.03343901579579811,497
geneComp_00005164,EFHC1,EFHC1,Control,FRDA,0.03438229220919337,498
geneComp_00011889,ENSG00000291201.2,NA,Control,FRDA,0.03466971892584762,499
geneComp_00025930,PTPRG-AS1,PTPRG-AS1,Control,FRDA,0.0346905030138114,500
geneComp_00030576,TMEM63B,TMEM63B,Control,FRDA,0.03486593667405271,501
geneComp_00004726,DNAJC16,DNAJC16,Control,FRDA,0.035401030928439055,502
geneComp_00028325,SLC25A19,SLC25A19,Control,FRDA,0.03575697960618064,503
geneComp_00005353,ELP3,ELP3,Control,FRDA,0.036251721120242955,504
geneComp_00002036,C16orf86,C16orf86,Control,FRDA,0.03629872877801777,505
geneComp_00019245,IRAK4,IRAK4,Control,FRDA,0.03629872877801777,506
geneComp_00019035,IL17RB,IL17RB,Control,FRDA,0.03662182463580757,507
geneComp_00014573,ENSG00000303936.1,NA,Control,FRDA,0.03722409713898455,508
geneComp_00017295,GALNT10,GALNT10,Control,FRDA,0.03727650613263359,509
geneComp_00021702,MAP3K7CL,MAP3K7CL,Control,FRDA,0.03762433581190441,510
geneComp_00024938,PKN2-AS1,PKN2-AS1,Control,FRDA,0.03762433581190441,511
geneComp_00000175,ACKR3,ACKR3,Control,FRDA,0.03839345770933367,512
geneComp_00019754,KLF2,KLF2,Control,FRDA,0.03849473270967145,513
geneComp_00027574,SALL1,SALL1,Control,FRDA,0.038587550379387374,514
geneComp_00007433,ENSG00000259460.2,NA,Control,FRDA,0.039417275324908435,515
geneComp_00030156,THBS3,THBS3,Control,FRDA,0.039417275324908435,516
geneComp_00030256,TJP2,TJP2,Control,FRDA,0.039529690559286894,517
geneComp_00000360,ADD2,ADD2,Control,FRDA,0.04000219580131629,518
geneComp_00025632,PROSER2-AS1,PROSER2-AS1,Control,FRDA,0.04000219580131629,519
geneComp_00020200,LIMD2,LIMD2,Control,FRDA,0.04001510083931414,520
geneComp_00030146,THAP7-AS1,THAP7-AS1,Control,FRDA,0.04007004891844454,521
geneComp_00002046,C17orf49,C17orf49,Control,FRDA,0.04032741630630188,522
geneComp_00009976,ENSG00000285725.2,NA,Control,FRDA,0.04044087367975586,523
geneComp_00032016,WHAMMP4,WHAMMP4,Control,FRDA,0.04048994427642086,524
geneComp_00001355,ATG2B,ATG2B,Control,FRDA,0.04049728530346538,525
geneComp_00016877,FGF1,FGF1,Control,FRDA,0.04049728530346538,526
geneComp_00031947,WDR25,WDR25,Control,FRDA,0.04076086476471236,527
geneComp_00032979,ZNF793,ZNF793,Control,FRDA,0.04076086476471236,528
geneComp_00000414,ADORA1,ADORA1,Control,FRDA,0.04095243479231292,529
geneComp_00016825,FCHSD1,FCHSD1,Control,FRDA,0.0410761629258315,530
geneComp_00028762,SMN2,SMN2,Control,FRDA,0.04119147611256395,531
geneComp_00024490,PDE4B,PDE4B,Control,FRDA,0.041682841182588776,532
geneComp_00005020,DZIP1,DZIP1,Control,FRDA,0.04170234602503822,533
geneComp_00004236,DAB1,DAB1,Control,FRDA,0.0418191311555441,534
geneComp_00030621,TMPPE,TMPPE,Control,FRDA,0.04198373957072034,535
geneComp_00025392,PPP1R13L,PPP1R13L,Control,FRDA,0.042077241435197754,536
