"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"MCCC1","MCCC1","ENST00000492597","Control","FRDA",0.11005,0.3,0.18995,0.00472651770172357,"Higher in FRDA"
"CADM2","CADM2","ENST00000383699","Control","FRDA",0.557825,0.4457,-0.112125,0.00477169289799696,"Higher in Control"
"TTC7A","TTC7A","ENST00000319190","Control","FRDA",0.18315,0.378525,0.195375,0.00477817220414543,"Higher in FRDA"
"CENPX","CENPX","ENST00000306704","Control","FRDA",0.678175,0.5251,-0.153075,0.004797775214431,"Higher in Control"
"HOMER3","HOMER3","ENST00000392351","Control","FRDA",0.778775,0.5811,-0.197675,0.004797775214431,"Higher in Control"
"ENSG00000289985.2",NA,"ENST00000702307","Control","FRDA",0.04445,0.2363,0.19185,0.00499334739988264,"Higher in FRDA"
"NET1","NET1","ENST00000380359","Control","FRDA",0.315675,0.594175,0.2785,0.00502861368532375,"Higher in FRDA"
"PCDHB9","PCDHB9","ENST00000623266","Control","FRDA",0.2836,0.021025,-0.262575,0.0050351855009924,"Higher in Control"
"ADPRHL1","ADPRHL1","ENST00000375418","Control","FRDA",0.940675,0.725925,-0.21475,0.00521961034471321,"Higher in Control"
"PLEKHB1","PLEKHB1","ENST00000227214","Control","FRDA",0.724575,0.952575,0.228,0.00552391078768776,"Higher in FRDA"
"FBXW7","FBXW7","ENST00000703552","Control","FRDA",0.007625,0.162125,0.1545,0.00578129831958153,"Higher in FRDA"
"TJAP1","TJAP1","ENST00000372445","Control","FRDA",0.084,0.202725,0.118725,0.00581303272543947,"Higher in FRDA"
"CCDC146","CCDC146","ENST00000285871","Control","FRDA",0.592475,0.354575,-0.2379,0.00609241905853289,"Higher in Control"
"CHST8","CHST8","ENST00000438847","Control","FRDA",0.9238,0.612075,-0.311725,0.00617187932897095,"Higher in Control"
"NET1","NET1","ENST00000355029","Control","FRDA",0.61805,0.33495,-0.2831,0.00625241221489535,"Higher in Control"
"KTN1-AS1","KTN1-AS1","ENST00000535211","Control","FRDA",0.136425,0,-0.136425,0.00633409272506086,"Higher in Control"
"C8orf58","C8orf58","ENST00000614574","Control","FRDA",0.44605,0.277075,-0.168975,0.00657877350404541,"Higher in Control"
"TMEM181","TMEM181","ENST00000367090","Control","FRDA",0.37455,0.214175,-0.160375,0.00676967478439769,"Higher in Control"
"HSD17B7","HSD17B7","ENST00000254521","Control","FRDA",0.77565,0.652825,-0.122825,0.0067813704670369,"Higher in Control"
"FAM157C","FAM157C","ENST00000833301","Control","FRDA",0.18465,0,-0.18465,0.00680093823198843,"Higher in Control"
"ANKRD36","ANKRD36","ENST00000420699","Control","FRDA",0.153625,0.2901,0.136475,0.0069154695891114,"Higher in FRDA"
"DDIT4","DDIT4","ENST00000307365","Control","FRDA",0.85475,0.64965,-0.2051,0.00698787938822647,"Higher in Control"
"BBC3","BBC3","ENST00000598636","Control","FRDA",0.01165,0.118925,0.107275,0.00703002745589823,"Higher in FRDA"
"LINC01418","LINC01418","ENST00000829415","Control","FRDA",0.17595,0.01635,-0.1596,0.00720827178200235,"Higher in Control"
"ATRAID","ATRAID","ENST00000380171","Control","FRDA",0.6841,0.563875,-0.120225,0.0073333467376875,"Higher in Control"
"LNC-LBCS","LNC-LBCS","ENST00000607810","Control","FRDA",0.19315,0,-0.19315,0.0073333467376875,"Higher in Control"
"ING3","ING3","ENST00000339121","Control","FRDA",0.14095,0.298475,0.157525,0.00742459452534256,"Higher in FRDA"
"SHROOM2","SHROOM2","ENST00000380913","Control","FRDA",0.1027,0.536375,0.433675,0.00743067415592356,"Higher in FRDA"
"SAP30L","SAP30L","ENST00000520731","Control","FRDA",0.47505,0.246775,-0.228275,0.00745844236082546,"Higher in Control"
"HEY1","HEY1","ENST00000354724","Control","FRDA",0.79605,0.53495,-0.2611,0.00750399991328602,"Higher in Control"
"XNDC1N","XNDC1N","ENST00000532852","Control","FRDA",0.033475,0.204175,0.1707,0.00752744271563247,"Higher in FRDA"
"PRPH","PRPH","ENST00000532332","Control","FRDA",0,0.15365,0.15365,0.00763611098540754,"Higher in FRDA"
"FAM182B","FAM182B","ENST00000771791","Control","FRDA",0.485925,0.13115,-0.354775,0.00765411272719868,"Higher in Control"
"COL2A1","COL2A1","ENST00000380518","Control","FRDA",0.8922,0.608675,-0.283525,0.00771737527070808,"Higher in Control"
"RTL5","RTL5","ENST00000479991","Control","FRDA",0.888,0.765025,-0.122975,0.00779224788701007,"Higher in Control"
"PCDHA4","PCDHA4","ENST00000530339","Control","FRDA",0.152375,0.322375,0.17,0.00789290733478574,"Higher in FRDA"
"SNHG30","SNHG30","ENST00000659685","Control","FRDA",0,0.56325,0.56325,0.00799200673187548,"Higher in FRDA"
"NCAPD3","NCAPD3","ENST00000534532","Control","FRDA",0.00875,0.121575,0.112825,0.00816130231736257,"Higher in FRDA"
"DISP2","DISP2","ENST00000558623","Control","FRDA",0,0.168025,0.168025,0.00833884049200793,"Higher in FRDA"
"PAQR6","PAQR6","ENST00000470198","Control","FRDA",0,0.11825,0.11825,0.00836611937032551,"Higher in FRDA"
"SNRPA1","SNRPA1","ENST00000254193","Control","FRDA",0.8258,0.711925,-0.113875,0.00838323116827935,"Higher in Control"
"OXR1","OXR1","ENST00000449762","Control","FRDA",0.176125,0.2908,0.114675,0.00862060722968368,"Higher in FRDA"
"UBL7-DT","UBL7-DT","ENST00000836094","Control","FRDA",0.109025,0,-0.109025,0.00868018626110799,"Higher in Control"
"ZNF415","ZNF415","ENST00000601110","Control","FRDA",0.126975,0,-0.126975,0.00881913579039058,"Higher in Control"
"SNRNP35","SNRNP35","ENST00000412157","Control","FRDA",0.17445,0.060275,-0.114175,0.0089178396933185,"Higher in Control"
"ENSG00000226266.9",NA,"ENST00000849500","Control","FRDA",0,0.2138,0.2138,0.00935153303023274,"Higher in FRDA"
"ST6GALNAC4","ST6GALNAC4","ENST00000361444","Control","FRDA",0.036225,0.20425,0.168025,0.00949643763858071,"Higher in FRDA"
"HEY1","HEY1","ENST00000337919","Control","FRDA",0.14145,0.3605,0.21905,0.00988493069801989,"Higher in FRDA"
"SPOCK1","SPOCK1","ENST00000515091","Control","FRDA",0.443,0.324925,-0.118075,0.00988493069801989,"Higher in Control"
"ZNF608","ZNF608","ENST00000513986","Control","FRDA",0.539775,0.38345,-0.156325,0.00996061528380772,"Higher in Control"
"CNNM3","CNNM3","ENST00000305510","Control","FRDA",0.6268,0.786925,0.160125,0.0102931971028969,"Higher in FRDA"
"BRD9","BRD9","ENST00000467963","Control","FRDA",0.484925,0.37815,-0.106775,0.0104836103821885,"Higher in Control"
"ENSG00000258311.5",NA,"ENST00000551946","Control","FRDA",0,0.135675,0.135675,0.0104836103821885,"Higher in FRDA"
"PCDHA4","PCDHA4","ENST00000512229","Control","FRDA",0.670225,0.490025,-0.1802,0.0105440398328694,"Higher in Control"
"TBCCD1","TBCCD1","ENST00000424280","Control","FRDA",0.013125,0.136175,0.12305,0.0105845868903822,"Higher in FRDA"
"RTL5","RTL5","ENST00000609883","Control","FRDA",0.112,0.234975,0.122975,0.0106168049159427,"Higher in FRDA"
"NECAB2","NECAB2","ENST00000566836","Control","FRDA",0.155625,0,-0.155625,0.010639857071947,"Higher in Control"
"ZBTB18","ZBTB18","ENST00000622512","Control","FRDA",0.393025,0.493125,0.1001,0.010639857071947,"Higher in FRDA"
"TIAM2","TIAM2","ENST00000682666","Control","FRDA",0.025675,0.23955,0.213875,0.0107534981931608,"Higher in FRDA"
"ADK","ADK","ENST00000673027","Control","FRDA",0.15855,0.33165,0.1731,0.0107919559547828,"Higher in FRDA"
"ARID4A","ARID4A","ENST00000417477","Control","FRDA",0.278175,0.1146,-0.163575,0.0110696972773722,"Higher in Control"
"THCAT155","THCAT155","ENST00000668740","Control","FRDA",0.75945,0.54755,-0.2119,0.0111732331049395,"Higher in Control"
"ATG7","ATG7","ENST00000685771","Control","FRDA",0.0156,0.18005,0.16445,0.0112109954309618,"Higher in FRDA"
"NOL4","NOL4","ENST00000590712","Control","FRDA",0.177425,0.013325,-0.1641,0.0112614931955521,"Higher in Control"
