"gene_id","gene_name","isoform_id","condition_1","condition_2","IF_condition_1","IF_condition_2","dIF","isoform_switch_q_value","direction"
"GABRD","GABRD","ENST00000378585","Control","FRDA",0.0724,0.65825,0.58585,0.0202373523097983,"Higher in FRDA"
"CRMA","CRMA","ENST00000788155","Control","FRDA",0.271375,0,-0.271375,0.0202732143783897,"Higher in Control"
"HPAT5","HPAT5","ENST00000625787","Control","FRDA",0.29145,0.0527,-0.23875,0.0207667404671362,"Higher in Control"
"KEAP1","KEAP1","ENST00000393623","Control","FRDA",0.621,0.89335,0.27235,0.0214280346130921,"Higher in FRDA"
"FERMT2","FERMT2","ENST00000554152","Control","FRDA",0.060725,0.1686,0.107875,0.0216040664490283,"Higher in FRDA"
"PDLIM7","PDLIM7","ENST00000355841","Control","FRDA",0.287925,0.13455,-0.153375,0.0216040664490283,"Higher in Control"
"SYTL2","SYTL2","ENST00000527794","Control","FRDA",0.1853,0,-0.1853,0.0221114523158589,"Higher in Control"
"CSNK1A1","CSNK1A1","ENST00000504676","Control","FRDA",0.2945,0.169,-0.1255,0.0225746259550931,"Higher in Control"
"FSTL3","FSTL3","ENST00000588773","Control","FRDA",0,0.10315,0.10315,0.0226271197051116,"Higher in FRDA"
"HILPDA","HILPDA","ENST00000435296","Control","FRDA",0.382825,0.1706,-0.212225,0.0235666323200808,"Higher in Control"
"ENSG00000303910.1",NA,"ENST00000798029","Control","FRDA",0.583833333333333,0.049325,-0.534508333333333,0.0236142464421933,"Higher in Control"
"MMP25-AS1","MMP25-AS1","ENST00000573953","Control","FRDA",0.36285,0.258225,-0.104625,0.0237616680158728,"Higher in Control"
"ARB2A","ARB2A","ENST00000509163","Control","FRDA",0.160975,0.050525,-0.11045,0.0238199691267316,"Higher in Control"
"GUF1","GUF1","ENST00000511493","Control","FRDA",0.315425,0.176375,-0.13905,0.0243172268701891,"Higher in Control"
"IFRD1","IFRD1","ENST00000674887","Control","FRDA",0.165825,0.05175,-0.114075,0.0249237231420332,"Higher in Control"
"LINC02610","LINC02610","ENST00000659231","Control","FRDA",0.225475,0.010675,-0.2148,0.0249237231420332,"Higher in Control"
"SERPINF1","SERPINF1","ENST00000254722","Control","FRDA",0.4641,0.795475,0.331375,0.0250227247700816,"Higher in FRDA"
"SLC2A3","SLC2A3","ENST00000075120","Control","FRDA",0.761175,0.592175,-0.169,0.02532096172203,"Higher in Control"
"FBXW2","FBXW2","ENST00000684405","Control","FRDA",0.28365,0.1528,-0.13085,0.0266542532607974,"Higher in Control"
"GCNT1","GCNT1","ENST00000376730","Control","FRDA",0.32985,0.826,0.49615,0.0271412200996503,"Higher in FRDA"
"PFKFB3","PFKFB3","ENST00000625260","Control","FRDA",0.1678,0,-0.1678,0.0272103707185439,"Higher in Control"
"ANXA4","ANXA4","ENST00000409920","Control","FRDA",0.308325,0.09185,-0.216475,0.027490843465965,"Higher in Control"
"IER3IP1","IER3IP1","ENST00000256433","Control","FRDA",0.851325,0.975675,0.12435,0.027490843465965,"Higher in FRDA"
"ENSG00000288759.3",NA,"ENST00000823566","Control","FRDA",0.349725,0.021025,-0.3287,0.0276400103072522,"Higher in Control"
"SGK1","SGK1","ENST00000367858","Control","FRDA",0.077725,0.413825,0.3361,0.0282094032195923,"Higher in FRDA"
"LINC01569","LINC01569","ENST00000687603","Control","FRDA",0,0.2135,0.2135,0.0287876045502215,"Higher in FRDA"
"KCNJ11","KCNJ11","ENST00000528731","Control","FRDA",0.0154,0.129375,0.113975,0.0293202555381574,"Higher in FRDA"
"SLC4A4","SLC4A4","ENST00000264485","Control","FRDA",0.64635,0.316675,-0.329675,0.0293202555381574,"Higher in Control"
"CLEC16A","CLEC16A","ENST00000703130","Control","FRDA",0.338075,0.149025,-0.18905,0.0293492837165202,"Higher in Control"
"KANSL3","KANSL3","ENST00000420155","Control","FRDA",0.130425,0.01835,-0.112075,0.0293492837165202,"Higher in Control"
"PLPP1","PLPP1","ENST00000515132","Control","FRDA",0.162225,0.380575,0.21835,0.0293492837165202,"Higher in FRDA"
"UBAP1","UBAP1","ENST00000297661","Control","FRDA",0.473525,0.7389,0.265375,0.0293492837165202,"Higher in FRDA"
"KIT","KIT","ENST00000690543","Control","FRDA",0.0115,0.121075,0.109575,0.0294736858405328,"Higher in FRDA"
"RAP1A","RAP1A","ENST00000356415","Control","FRDA",0.7185,0.57895,-0.13955,0.0295841171779328,"Higher in Control"
"JAKMIP3","JAKMIP3","ENST00000667210","Control","FRDA",0.0577,0.32085,0.26315,0.0297742873485498,"Higher in FRDA"
"NOMO3","NOMO3","ENST00000677781","Control","FRDA",0.0133,0.1312,0.1179,0.0310859443736514,"Higher in FRDA"
"UBL7-DT","UBL7-DT","ENST00000836118","Control","FRDA",0.108925,0.00585,-0.103075,0.0311050007334014,"Higher in Control"
"SMARCA1","SMARCA1","ENST00000371121","Control","FRDA",0.146625,0.02315,-0.123475,0.0314251662515723,"Higher in Control"
"AAK1","AAK1","ENST00000409068","Control","FRDA",0.236475,0.374825,0.13835,0.0315907204231397,"Higher in FRDA"
"DPP3-DT","DPP3-DT","ENST00000525142","Control","FRDA",0,0.168975,0.168975,0.033176576109664,"Higher in FRDA"
"FBXL5","FBXL5","ENST00000341285","Control","FRDA",0.24235,0.37165,0.1293,0.0336622368359428,"Higher in FRDA"
"LINC01798","LINC01798","ENST00000758462","Control","FRDA",0,0.4226,0.4226,0.0336622368359428,"Higher in FRDA"
"MGST1","MGST1","ENST00000010404","Control","FRDA",0.169725,0.03055,-0.139175,0.0338046272228997,"Higher in Control"
"PCMTD2","PCMTD2","ENST00000609818","Control","FRDA",0.135325,0,-0.135325,0.0338046272228997,"Higher in Control"
"ACSL4","ACSL4","ENST00000469796","Control","FRDA",0.234675,0.473675,0.239,0.0340422037871044,"Higher in FRDA"
"ACTN4","ACTN4","ENST00000252699","Control","FRDA",0.2748,0.098825,-0.175975,0.0340422037871044,"Higher in Control"
"CCDC74B","CCDC74B","ENST00000441670","Control","FRDA",0,0.151,0.151,0.0340422037871044,"Higher in FRDA"
"RAB11FIP4","RAB11FIP4","ENST00000581460","Control","FRDA",0.12715,0,-0.12715,0.0340422037871044,"Higher in Control"
"SLC16A1-AS1","SLC16A1-AS1","ENST00000715664","Control","FRDA",0,0.100675,0.100675,0.0343187074662743,"Higher in FRDA"
"CLK1","CLK1","ENST00000473565","Control","FRDA",0.47245,0.35925,-0.1132,0.034708538750428,"Higher in Control"
"FHL1","FHL1","ENST00000394155","Control","FRDA",0.169225,0.314475,0.14525,0.034708538750428,"Higher in FRDA"
"RMND5A","RMND5A","ENST00000472843","Control","FRDA",0.14625,0,-0.14625,0.034708538750428,"Higher in Control"
"DLG2","DLG2","ENST00000280241","Control","FRDA",0.0134,0.13575,0.12235,0.0349163756740493,"Higher in FRDA"
"RXYLT1","RXYLT1","ENST00000690060","Control","FRDA",0.053575,0.28975,0.236175,0.0349163756740493,"Higher in FRDA"
"TLE6","TLE6","ENST00000452088","Control","FRDA",0.470325,0.045575,-0.42475,0.0349163756740493,"Higher in Control"
"TSPAN2","TSPAN2","ENST00000369516","Control","FRDA",1,0.89825,-0.10175,0.0349163756740493,"Higher in Control"
"SPEN","SPEN","ENST00000375759","Control","FRDA",0.32695,0.468075,0.141125,0.034936695728448,"Higher in FRDA"
"LRRC23","LRRC23","ENST00000436789","Control","FRDA",0.1373,0,-0.1373,0.0350528904999141,"Higher in Control"
"SPIDR","SPIDR","ENST00000522900","Control","FRDA",0,0.117175,0.117175,0.035401248365859,"Higher in FRDA"
"SLC66A1","SLC66A1","ENST00000375155","Control","FRDA",0.400375,0.2671,-0.133275,0.035428422932233,"Higher in Control"
"KBTBD11-AS1","KBTBD11-AS1","ENST00000662506","Control","FRDA",0.0221,0.32675,0.30465,0.0362481458525437,"Higher in FRDA"
"LZTS2","LZTS2","ENST00000429732","Control","FRDA",0.148925,0.004125,-0.1448,0.0366366849969261,"Higher in Control"
"COL7A1","COL7A1","ENST00000681320","Control","FRDA",0.271925,0.06455,-0.207375,0.0369152421465942,"Higher in Control"
"NHS","NHS","ENST00000676302","Control","FRDA",0.33125,0.10185,-0.2294,0.0376303218237597,"Higher in Control"
"WDHD1","WDHD1","ENST00000360586","Control","FRDA",0.281375,0.3897,0.108325,0.0376303218237597,"Higher in FRDA"
