dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Mishra_223,XNDC1N,XNDC1N,1,domain_identified,0.1707,0.007527442715632472
Mishra_223,PRPH,PRPH,2,codingPotential; domain_identified,0.2587999999999999,0.007636110985407544
Mishra_223,COL2A1,COL2A1,3,codingPotential; domain_identified; signal_peptide_identified,0.283525,0.007717375270708082
Mishra_223,RTL5,RTL5,4,codingPotential; domain_identified; IR; PTC,0.12297499999999999,0.007792247887010066
Mishra_223,PCDHA4,PCDHA4,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.18020000000000008,0.00789290733478574
Mishra_223,NCAPD3,NCAPD3,4,codingPotential; domain_identified; IR; PTC,0.14997500000000002,0.008161302317362572
Mishra_223,DISP2,DISP2,2,codingPotential; IR,0.16605000000000003,0.008338840492007926
Mishra_223,PAQR6,PAQR6,3,codingPotential; domain_identified; IR,0.16932499999999998,0.00836611937032551
Mishra_223,SNRPA1,SNRPA1,2,codingPotential; domain_identified,0.11387499999999995,0.008383231168279347
Mishra_223,OXR1,OXR1,2,codingPotential; domain_identified,0.114675,0.008620607229683684
Mishra_223,TOR1AIP1,TOR1AIP1,2,codingPotential; domain_identified,0.102525,0.008657497713343265
Mishra_223,ZNF415,ZNF415,2,codingPotential; domain_identified,0.126975,0.008819135790390576
Mishra_223,SNRNP35,SNRNP35,2,codingPotential; domain_identified,0.114175,0.008917839693318498
Mishra_223,BRD9,BRD9,2,codingPotential; domain_identified,0.10677500000000001,0.00893834020525997
Mishra_223,ST6GALNAC4,ST6GALNAC4,2,codingPotential; domain_identified,0.168025,0.009496437638580707
Mishra_223,CNNM3,CNNM3,3,codingPotential; domain_identified; signal_peptide_identified,0.16012499999999996,0.010293197102896908
Mishra_223,ENSG00000258311.5,NA,2,codingPotential; PTC,0.135675,0.0104836103821885
Mishra_223,TBCCD1,TBCCD1,2,codingPotential; domain_identified,0.12304999999999999,0.010584586890382238
Mishra_223,NECAB2,NECAB2,2,codingPotential; domain_identified,0.41,0.01063985707194702
Mishra_223,ZBTB18,ZBTB18,3,codingPotential; domain_identified; IR,0.128425,0.01063985707194702
Mishra_223,ADK,ADK,2,codingPotential; domain_identified,0.1731,0.010791955954782809
