dataset,gene_id,gene_name,n_consequences,consequences,max_abs_dIF,min_q
Maddock_NCC_FA2,PARP10,PARP10,3,codingPotential; domain_identified; IR,0.194975,0.007460310203554399
Maddock_NCC_FA2,MOGS,MOGS,3,codingPotential; domain_identified; IR,0.13565000000000005,0.007835780987590983
Maddock_NCC_FA2,ZNF221,ZNF221,2,codingPotential; domain_identified,0.22657499999999997,0.0078950881169292
Maddock_NCC_FA2,BAIAP2L2,BAIAP2L2,2,codingPotential; domain_identified,0.21757500000000002,0.008523192782064789
Maddock_NCC_FA2,TUBA4A,TUBA4A,2,codingPotential; domain_identified,0.421975,0.0095715324383964
Maddock_NCC_FA2,RALGPS2,RALGPS2,2,codingPotential; domain_identified,0.31170000000000003,0.0095715324383964
Maddock_NCC_FA2,SIRT2,SIRT2,2,codingPotential; domain_identified,0.10339999999999999,0.0095715324383964
Maddock_NCC_FA2,ENSG00000304817.1,NA,1,IR,0.354,0.00985451996934628
Maddock_NCC_FA2,ZNF487,ZNF487,1,codingPotential,0.5556,0.010743649546827145
Maddock_NCC_FA2,LINC01376,LINC01376,1,IR,0.14502499999999996,0.0110925346475064
Maddock_NCC_FA2,PEX7,PEX7,2,codingPotential; domain_identified,0.19852499999999995,0.011518174719058475
Maddock_NCC_FA2,ENSG00000290951.2,NA,2,codingPotential; IR,0.105475,0.011561667664417878
Maddock_NCC_FA2,MPZ,MPZ,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.12765000000000004,0.012625723764471113
Maddock_NCC_FA2,AFF3,AFF3,2,codingPotential; domain_identified,0.21475,0.012671645549809568
Maddock_NCC_FA2,CKMT1B,CKMT1B,2,codingPotential; domain_identified,0.11045000000000005,0.013569221516303196
Maddock_NCC_FA2,SLK,SLK,2,codingPotential; domain_identified,0.325175,0.013584199453115123
Maddock_NCC_FA2,FLYWCH2,FLYWCH2,2,codingPotential; domain_identified,0.12965000000000004,0.01424953098128116
Maddock_NCC_FA2,PARP2,PARP2,2,codingPotential; domain_identified,0.10540000000000005,0.014533095428895007
Maddock_NCC_FA2,TLE4,TLE4,1,IR,0.1389,0.01465201130816889
Maddock_NCC_FA2,RGL2,RGL2,2,codingPotential; domain_identified,0.11820000000000003,0.014732744696508605
Maddock_NCC_FA2,EFNA1,EFNA1,3,codingPotential; domain_identified; signal_peptide_identified,0.10075,0.0150443424018643
Maddock_NCC_FA2,ZSCAN32,ZSCAN32,3,codingPotential; domain_identified; PTC,0.16444999999999999,0.01509884071444972
Maddock_NCC_FA2,CTSH,CTSH,4,codingPotential; domain_identified; PTC; signal_peptide_identified,0.40984999999999994,0.01517581948852274
Maddock_NCC_FA2,MPPED2,MPPED2,3,codingPotential; domain_identified; PTC,0.15492499999999998,0.015246933517181666
Maddock_NCC_FA2,ZNF707,ZNF707,3,codingPotential; domain_identified; PTC,0.144125,0.015537829527836125
Maddock_NCC_FA2,ENSG00000291234.2,NA,1,codingPotential,0.179375,0.015593766978289719
Maddock_NCC_FA2,NLGN4X,NLGN4X,3,codingPotential; domain_identified; signal_peptide_identified,0.24462499999999998,0.016010769687663094
Maddock_NCC_FA2,ZNF691,ZNF691,2,codingPotential; domain_identified,0.16092499999999998,0.01606572240565365
Maddock_NCC_FA2,CASP8,CASP8,3,codingPotential; domain_identified; IR,0.22342499999999998,0.01628030158383315
Maddock_NCC_FA2,SEMA6D,SEMA6D,3,codingPotential; domain_identified; signal_peptide_identified,0.26205,0.0164393580108839
Maddock_NCC_FA2,PITX2,PITX2,2,codingPotential; domain_identified,0.32415000000000005,0.016552942793674818
Maddock_NCC_FA2,ACOT11,ACOT11,2,codingPotential; domain_identified,0.32192499999999996,0.016552942793674818
Maddock_NCC_FA2,EVI5L,EVI5L,2,codingPotential; domain_identified,0.14672499999999994,0.016552942793674818
Maddock_NCC_FA2,LMO7,LMO7,2,codingPotential; domain_identified,0.119975,0.016552942793674818
Maddock_NCC_FA2,RXYLT1,RXYLT1,1,codingPotential,0.123475,0.016964986047098785
Maddock_NCC_FA2,LBH,LBH,2,codingPotential; domain_identified,0.128575,0.017013313608768208
Maddock_NCC_FA2,CD82,CD82,2,codingPotential; domain_identified,0.19185000000000008,0.017252043420565927
Maddock_NCC_FA2,HTD2,HTD2,2,codingPotential; domain_identified,0.14902500000000002,0.017319185710959185
Maddock_NCC_FA2,COQ8B,COQ8B,2,codingPotential; domain_identified,0.11407500000000001,0.01737693965974038
Maddock_NCC_FA2,HSPG2,HSPG2,3,codingPotential; domain_identified; signal_peptide_identified,0.10144999999999993,0.01737693965974038
Maddock_NCC_FA2,EDRF1-DT,EDRF1-DT,1,IR,0.39554999999999996,0.01809068390082904
Maddock_NCC_FA2,LARGE2,LARGE2,3,codingPotential; domain_identified; IR,0.260025,0.018122578256908002
Maddock_NCC_FA2,CYFIP2,CYFIP2,2,codingPotential; domain_identified,0.13215,0.018227556576253554
Maddock_NCC_FA2,ZNF774,ZNF774,4,codingPotential; domain_identified; IR; PTC,0.18305,0.018269749006368075
Maddock_NCC_FA2,AOPEP,AOPEP,1,codingPotential,0.10767499999999998,0.018386230240040758
Maddock_NCC_FA2,CCHCR1,CCHCR1,3,domain_identified; IR; PTC,0.10425000000000001,0.018386230240040758
Maddock_NCC_FA2,DCAF8,DCAF8,1,codingPotential,0.1379,0.018403706945153277
Maddock_NCC_FA2,LIPE,LIPE,2,codingPotential; domain_identified,0.24105000000000001,0.01860977645747278
Maddock_NCC_FA2,TCIRG1,TCIRG1,2,codingPotential; domain_identified,0.11330000000000001,0.01860977645747278
Maddock_NCC_FA2,ENSG00000291186.2,NA,1,codingPotential,0.10175000000000001,0.01865249147397946
Maddock_NCC_FA2,RNF32-DT,RNF32-DT,2,codingPotential; IR,0.15249999999999997,0.018788982944299346
Maddock_NCC_FA2,CCT6B,CCT6B,2,codingPotential; domain_identified,0.2133,0.018866192077133775
Maddock_NCC_FA2,GPR108,GPR108,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.16852500000000004,0.019013307520564064
Maddock_NCC_FA2,CHRNB1,CHRNB1,3,codingPotential; domain_identified; signal_peptide_identified,0.10319999999999996,0.01976085511666482
Maddock_NCC_FA2,MAFK,MAFK,4,codingPotential; domain_identified; IR; PTC,0.10257499999999999,0.01976248028511738
Maddock_NCC_FA2,XYLT2,XYLT2,2,codingPotential; domain_identified,0.10025000000000006,0.019821231210687643
Maddock_NCC_FA2,FCHSD1,FCHSD1,3,codingPotential; domain_identified; PTC,0.15897499999999998,0.019983531246313604
Maddock_NCC_FA2,SH2B1,SH2B1,1,codingPotential,0.139825,0.02030749922046897
Maddock_NCC_FA2,RNASEH2C,RNASEH2C,2,codingPotential; IR,0.10749999999999998,0.02030749922046897
Maddock_NCC_FA2,MLF1,MLF1,2,codingPotential; domain_identified,0.14750000000000002,0.020946903249733386
Maddock_NCC_FA2,SESN1,SESN1,2,codingPotential; domain_identified,0.11085,0.021064320837094863
Maddock_NCC_FA2,VGLL4,VGLL4,2,codingPotential; domain_identified,0.17645,0.021083530007297416
Maddock_NCC_FA2,CLN5,CLN5,1,codingPotential,0.169375,0.021115258234663575
Maddock_NCC_FA2,MANEAL,MANEAL,3,codingPotential; domain_identified; IR,0.2248,0.021317188761557075
Maddock_NCC_FA2,NUDT2,NUDT2,2,codingPotential; domain_identified,0.18517499999999998,0.02134720036016477
Maddock_NCC_FA2,BPNT1,BPNT1,3,codingPotential; domain_identified; IR,0.24315,0.021439453618165048
Maddock_NCC_FA2,YY1AP1,YY1AP1,2,codingPotential; IR,0.128075,0.02159836610007335
Maddock_NCC_FA2,SIRT3,SIRT3,2,codingPotential; domain_identified,0.152725,0.021670934942379746
Maddock_NCC_FA2,LRRN2,LRRN2,3,codingPotential; domain_identified; signal_peptide_identified,0.3175,0.021857940929898328
Maddock_NCC_FA2,PCSK6,PCSK6,4,codingPotential; domain_identified; IR; PTC,0.27995000000000003,0.021898432795745715
Maddock_NCC_FA2,TMEM234,TMEM234,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.11332500000000001,0.022144041228883186
Maddock_NCC_FA2,MRPS25,MRPS25,2,codingPotential; PTC,0.267775,0.022187923278535908
Maddock_NCC_FA2,ADAL,ADAL,3,codingPotential; domain_identified; IR,0.135925,0.02231816653204578
Maddock_NCC_FA2,NAPRT,NAPRT,3,codingPotential; domain_identified; IR,0.150475,0.02274938203152533
Maddock_NCC_FA2,CCSER2,CCSER2,1,codingPotential,0.12585,0.02274938203152533
Maddock_NCC_FA2,DNAJB6,DNAJB6,1,codingPotential,0.12255,0.023094819347093388
Maddock_NCC_FA2,DNALI1,DNALI1,2,codingPotential; domain_identified,0.29495000000000005,0.02359726771714252
Maddock_NCC_FA2,MZT2A,MZT2A,2,codingPotential; domain_identified,0.13122500000000004,0.023989935924146093
Maddock_NCC_FA2,RUSC2,RUSC2,1,codingPotential,0.21735000000000004,0.024075305296232606
Maddock_NCC_FA2,ENSG00000301565.1,NA,1,codingPotential,0.25325,0.02410002526189972
Maddock_NCC_FA2,PIERCE2,PIERCE2,1,domain_identified,0.664825,0.024384721226615388
Maddock_NCC_FA2,BTN2A3P,BTN2A3P,2,codingPotential; IR,0.1615,0.02474541097470046
Maddock_NCC_FA2,PORCN,PORCN,2,codingPotential; PTC,0.1873,0.025034164508085682
Maddock_NCC_FA2,PPP1R13L,PPP1R13L,2,codingPotential; domain_identified,0.20260000000000003,0.02588595526930477
Maddock_NCC_FA2,PTCH1,PTCH1,1,codingPotential,0.1847,0.02612431563249718
Maddock_NCC_FA2,SMTN,SMTN,2,codingPotential; domain_identified,0.17675000000000002,0.02612431563249718
Maddock_NCC_FA2,BBS5,BBS5,2,domain_identified; PTC,0.131025,0.02658103538420273
Maddock_NCC_FA2,SERF1A,SERF1A,2,codingPotential; domain_identified,0.27642500000000003,0.027086537936438122
Maddock_NCC_FA2,KRT10-AS1,KRT10-AS1,2,codingPotential; IR,0.397425,0.027209795746163067
Maddock_NCC_FA2,HSD11B1L,HSD11B1L,3,codingPotential; IR; PTC,0.1454,0.028003914733554937
Maddock_NCC_FA2,USP35,USP35,1,codingPotential,0.118825,0.02821487523498763
Maddock_NCC_FA2,ENSG00000279088.3,NA,1,IR,0.19885000000000008,0.02852539276011492
Maddock_NCC_FA2,TMEM132E,TMEM132E,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.17332500000000006,0.028651347964658347
Maddock_NCC_FA2,ZFP37,ZFP37,2,codingPotential; domain_identified,0.1145,0.0289663760259449
Maddock_NCC_FA2,IGF1R,IGF1R,2,codingPotential; domain_identified,0.11332500000000001,0.029011190040883414
Maddock_NCC_FA2,CRYZL2P,CRYZL2P,1,codingPotential,0.32367500000000005,0.029046365583165916
Maddock_NCC_FA2,TMEM50B,TMEM50B,1,domain_identified,0.13422500000000004,0.029934082941571585
Maddock_NCC_FA2,WNT10B,WNT10B,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.11830000000000007,0.029934312321596965
Maddock_NCC_FA2,C4B,C4B,4,codingPotential; domain_identified; IR; signal_peptide_identified,0.21125,0.030109000308299827
